user_id,utc_date,model,api_key_name,api_key,type,price,amount
5ba70c83-255b-4f72-a65a-4e1572e2a2ae,2026-05-01,deepseek-v4-flash,deepseek-v4-flash,sk-80f3a***********************6883,output_tokens,0.00000028,4789
5ba70c83-255b-4f72-a65a-4e1572e2a2ae,2026-05-01,deepseek-v4-flash,deepseek-v4-flash,sk-80f3a***********************6883,request_count,,125
5ba70c83-255b-4f72-a65a-4e1572e2a2ae,2026-05-01,deepseek-v4-flash,deepseek-v4-flash,sk-80f3a***********************6883,input_cache_hit_tokens,0.0000000028,42112
5ba70c83-255b-4f72-a65a-4e1572e2a2ae,2026-05-01,deepseek-v4-flash,deepseek-v4-flash,sk-80f3a***********************6883,input_cache_miss_tokens,0.00000014,112775
5ba70c83-255b-4f72-a65a-4e1572e2a2ae,2026-05-03,deepseek-v4-flash,deepseek-v4-flash,sk-80f3a***********************6883,output_tokens,0.00000028,713
5ba70c83-255b-4f72-a65a-4e1572e2a2ae,2026-05-03,deepseek-v4-flash,deepseek-v4-flash,sk-80f3a***********************6883,request_count,,30
5ba70c83-255b-4f72-a65a-4e1572e2a2ae,2026-05-03,deepseek-v4-flash,deepseek-v4-flash,sk-80f3a***********************6883,input_cache_hit_tokens,0.0000000028,5760
5ba70c83-255b-4f72-a65a-4e1572e2a2ae,2026-05-03,deepseek-v4-flash,deepseek-v4-flash,sk-80f3a***********************6883,input_cache_miss_tokens,0.00000014,17951
5ba70c83-255b-4f72-a65a-4e1572e2a2ae,2026-05-03,deepseek-v4-flash,deepseek-v4-flash2,sk-cca3a***********************a5b5,output_tokens,0.00000028,254
5ba70c83-255b-4f72-a65a-4e1572e2a2ae,2026-05-03,deepseek-v4-flash,deepseek-v4-flash2,sk-cca3a***********************a5b5,request_count,,8
5ba70c83-255b-4f72-a65a-4e1572e2a2ae,2026-05-03,deepseek-v4-flash,deepseek-v4-flash2,sk-cca3a***********************a5b5,input_cache_hit_tokens,0.0000000028,2304
5ba70c83-255b-4f72-a65a-4e1572e2a2ae,2026-05-03,deepseek-v4-flash,deepseek-v4-flash2,sk-cca3a***********************a5b5,input_cache_miss_tokens,0.00000014,4171
5ba70c83-255b-4f72-a65a-4e1572e2a2ae,2026-05-04,deepseek-v4-flash,deepseek-v4-flash,sk-80f3a***********************6883,output_tokens,0.00000028,231
5ba70c83-255b-4f72-a65a-4e1572e2a2ae,2026-05-04,deepseek-v4-flash,deepseek-v4-flash,sk-80f3a***********************6883,request_count,,3
5ba70c83-255b-4f72-a65a-4e1572e2a2ae,2026-05-04,deepseek-v4-flash,deepseek-v4-flash,sk-80f3a***********************6883,input_cache_hit_tokens,0.0000000028,1152
5ba70c83-255b-4f72-a65a-4e1572e2a2ae,2026-05-04,deepseek-v4-flash,deepseek-v4-flash,sk-80f3a***********************6883,input_cache_miss_tokens,0.00000014,1177
5ba70c83-255b-4f72-a65a-4e1572e2a2ae,2026-05-05,deepseek-v4-flash,deepseek-v4-flash,sk-80f3a***********************6883,output_tokens,0.00000028,1295
5ba70c83-255b-4f72-a65a-4e1572e2a2ae,2026-05-05,deepseek-v4-flash,deepseek-v4-flash,sk-80f3a***********************6883,request_count,,27
5ba70c83-255b-4f72-a65a-4e1572e2a2ae,2026-05-05,deepseek-v4-flash,deepseek-v4-flash,sk-80f3a***********************6883,input_cache_hit_tokens,0.0000000028,7808
5ba70c83-255b-4f72-a65a-4e1572e2a2ae,2026-05-05,deepseek-v4-flash,deepseek-v4-flash,sk-80f3a***********************6883,input_cache_miss_tokens,0.00000014,23156
5ba70c83-255b-4f72-a65a-4e1572e2a2ae,2026-05-05,deepseek-v4-flash,deepseek-v4-flash2,sk-cca3a***********************a5b5,output_tokens,0.00000028,2588
5ba70c83-255b-4f72-a65a-4e1572e2a2ae,2026-05-05,deepseek-v4-flash,deepseek-v4-flash2,sk-cca3a***********************a5b5,request_count,,40
5ba70c83-255b-4f72-a65a-4e1572e2a2ae,2026-05-05,deepseek-v4-flash,deepseek-v4-flash2,sk-cca3a***********************a5b5,input_cache_hit_tokens,0.0000000028,12032
5ba70c83-255b-4f72-a65a-4e1572e2a2ae,2026-05-05,deepseek-v4-flash,deepseek-v4-flash2,sk-cca3a***********************a5b5,input_cache_miss_tokens,0.00000014,31669
5ba70c83-255b-4f72-a65a-4e1572e2a2ae,2026-05-06,deepseek-v4-flash,deepseek-v4-flash,sk-80f3a***********************6883,output_tokens,0.00000028,6994
5ba70c83-255b-4f72-a65a-4e1572e2a2ae,2026-05-06,deepseek-v4-flash,deepseek-v4-flash,sk-80f3a***********************6883,request_count,,96
5ba70c83-255b-4f72-a65a-4e1572e2a2ae,2026-05-06,deepseek-v4-flash,deepseek-v4-flash,sk-80f3a***********************6883,input_cache_hit_tokens,0.0000000028,30976
5ba70c83-255b-4f72-a65a-4e1572e2a2ae,2026-05-06,deepseek-v4-flash,deepseek-v4-flash,sk-80f3a***********************6883,input_cache_miss_tokens,0.00000014,96832
5ba70c83-255b-4f72-a65a-4e1572e2a2ae,2026-05-06,deepseek-v4-flash,deepseek-v4-flash2,sk-cca3a***********************a5b5,output_tokens,0.00000028,1278
5ba70c83-255b-4f72-a65a-4e1572e2a2ae,2026-05-06,deepseek-v4-flash,deepseek-v4-flash2,sk-cca3a***********************a5b5,request_count,,19
5ba70c83-255b-4f72-a65a-4e1572e2a2ae,2026-05-06,deepseek-v4-flash,deepseek-v4-flash2,sk-cca3a***********************a5b5,input_cache_hit_tokens,0.0000000028,4608
5ba70c83-255b-4f72-a65a-4e1572e2a2ae,2026-05-06,deepseek-v4-flash,deepseek-v4-flash2,sk-cca3a***********************a5b5,input_cache_miss_tokens,0.00000014,11350
5ba70c83-255b-4f72-a65a-4e1572e2a2ae,2026-05-08,deepseek-v4-flash,deepseek-v4-flash,sk-80f3a***********************6883,output_tokens,0.00000028,1064
5ba70c83-255b-4f72-a65a-4e1572e2a2ae,2026-05-08,deepseek-v4-flash,deepseek-v4-flash,sk-80f3a***********************6883,request_count,,28
5ba70c83-255b-4f72-a65a-4e1572e2a2ae,2026-05-08,deepseek-v4-flash,deepseek-v4-flash,sk-80f3a***********************6883,input_cache_hit_tokens,0.0000000028,7424
5ba70c83-255b-4f72-a65a-4e1572e2a2ae,2026-05-08,deepseek-v4-flash,deepseek-v4-flash,sk-80f3a***********************6883,input_cache_miss_tokens,0.00000014,24790
5ba70c83-255b-4f72-a65a-4e1572e2a2ae,2026-05-09,deepseek-v4-flash,deepseek-v4-flash,sk-80f3a***********************6883,output_tokens,0.00000028,649
5ba70c83-255b-4f72-a65a-4e1572e2a2ae,2026-05-09,deepseek-v4-flash,deepseek-v4-flash,sk-80f3a***********************6883,request_count,,17
5ba70c83-255b-4f72-a65a-4e1572e2a2ae,2026-05-09,deepseek-v4-flash,deepseek-v4-flash,sk-80f3a***********************6883,input_cache_hit_tokens,0.0000000028,4992
5ba70c83-255b-4f72-a65a-4e1572e2a2ae,2026-05-09,deepseek-v4-flash,deepseek-v4-flash,sk-80f3a***********************6883,input_cache_miss_tokens,0.00000014,13033
5ba70c83-255b-4f72-a65a-4e1572e2a2ae,2026-05-09,deepseek-v4-flash,deepseek-v4-flash2,sk-cca3a***********************a5b5,output_tokens,0.00000028,693
5ba70c83-255b-4f72-a65a-4e1572e2a2ae,2026-05-09,deepseek-v4-flash,deepseek-v4-flash2,sk-cca3a***********************a5b5,request_count,,12
5ba70c83-255b-4f72-a65a-4e1572e2a2ae,2026-05-09,deepseek-v4-flash,deepseek-v4-flash2,sk-cca3a***********************a5b5,input_cache_hit_tokens,0.0000000028,6272
5ba70c83-255b-4f72-a65a-4e1572e2a2ae,2026-05-09,deepseek-v4-flash,deepseek-v4-flash2,sk-cca3a***********************a5b5,input_cache_miss_tokens,0.00000014,6998
5ba70c83-255b-4f72-a65a-4e1572e2a2ae,2026-05-10,deepseek-v4-pro,deepseek-v4-flash,sk-80f3a***********************6883,output_tokens,0.00000087,554
5ba70c83-255b-4f72-a65a-4e1572e2a2ae,2026-05-10,deepseek-v4-pro,deepseek-v4-flash,sk-80f3a***********************6883,request_count,,2
5ba70c83-255b-4f72-a65a-4e1572e2a2ae,2026-05-10,deepseek-v4-pro,deepseek-v4-flash,sk-80f3a***********************6883,input_cache_miss_tokens,0.000000435,1882
5ba70c83-255b-4f72-a65a-4e1572e2a2ae,2026-05-10,deepseek-v4-flash,deepseek-v4-flash,sk-80f3a***********************6883,output_tokens,0.00000028,833
5ba70c83-255b-4f72-a65a-4e1572e2a2ae,2026-05-10,deepseek-v4-flash,deepseek-v4-flash,sk-80f3a***********************6883,request_count,,22
5ba70c83-255b-4f72-a65a-4e1572e2a2ae,2026-05-10,deepseek-v4-flash,deepseek-v4-flash,sk-80f3a***********************6883,input_cache_hit_tokens,0.0000000028,6528
5ba70c83-255b-4f72-a65a-4e1572e2a2ae,2026-05-10,deepseek-v4-flash,deepseek-v4-flash,sk-80f3a***********************6883,input_cache_miss_tokens,0.00000014,23577
5ba70c83-255b-4f72-a65a-4e1572e2a2ae,2026-05-10,deepseek-v4-flash,deepseek-v4-flash2,sk-cca3a***********************a5b5,output_tokens,0.00000028,318
5ba70c83-255b-4f72-a65a-4e1572e2a2ae,2026-05-10,deepseek-v4-flash,deepseek-v4-flash2,sk-cca3a***********************a5b5,request_count,,7
